age,income,score,zipcode,city,extra_data
34.0,55000.0,0.82,90210,Beverly,
45.0,62000.0,0.91,10001,New York,42.0
29.0,42000.0,0.75,60614,Chicago,
50.0,58000.0,0.76,94103,SF,
38.0,50000.0,0.88,73301,Austin,
41.0,49000.0,0.79,94105,San Francisco,5.0
36.0,53000.0,0.85,33101,Miami,12.0
47.0,61000.0,0.9,2108,Boston,
33.0,47000.0,0.8,30301,Atlanta,8.0
40.0,56000.0,0.83,77005,Houston,15.0
31.0,45000.0,0.77,20001,Washington,20.0
39.0,52000.0,0.86,98101,Seattle,
42.0,60000.0,0.92,15213,Pittsburgh,18.0
37.0,54000.0,0.81,48201,Detroit,11.0
44.0,59000.0,0.87,53202,Milwaukee,13.0
28.0,43000.0,0.74,97201,Portland,
35.0,51000.0,0.84,43215,Columbus,10.0
46.0,62500.0,0.89,63101,St. Louis,22.0
32.0,48000.0,0.78,55401,Minneapolis,7.0
48.0,60500.0,0.91,70112,New Orleans,14.0
,50000.0,0.8,10022,New York,9.0
49.0,,0.88,60616,Chicago,
30.0,43000.0,,30303,Atlanta,16.0
,,,94107,SF,
43.0,57500.0,0.86,73344,Austin,21.0
39.0,49500.0,0.82,33109,Miami,19.0
,,,2110,Boston,
51.0,61500.0,0.93,77006,Houston,17.0
34.0,54000.0,0.85,20005,Washington,23.0
,,,98109,Seattle,
